round,train_loss,train_acc,val_acc,test_acc,test_loss,test_ece
1,0.57350837903904,0.827286470143613,0.8477477550506591,0.851754387219747,0.39903236470724407,0.07781762049577057
2,0.3079633703729868,0.8922902494331065,0.9126126130421957,0.9070175389448801,0.22110413563878914,0.032007182367933346
3,0.22232549626856074,0.9236583522297808,0.9198198278745016,0.9289473712444305,0.1867105696546404,0.030365087179054683
4,0.17903591320904158,0.9349962207105065,0.9207207143306733,0.9324561456839243,0.17754759680675833,0.030595942016325296
5,0.16338552794759237,0.9397203325774754,0.9198198199272156,0.9368420938650767,0.17212135390492908,0.03199854468411119
6,0.14492022075415087,0.9489795918367347,0.9270270327727,0.9359649181365967,0.17229781322704074,0.029108158564243036
7,0.12832690742449696,0.9540816326530612,0.9306306461493175,0.9333333353201548,0.17171180857378138,0.03380364454036916
8,0.10004095090109677,0.9667422524565382,0.9261261224746704,0.9333333353201548,0.17948913771267,0.038321259323028684
9,0.09166569571925548,0.9661753590325018,0.9261261304219564,0.9412280718485514,0.17660740003512618,0.0344141616952111
10,0.07770999108363036,0.9729780801209372,0.927027020851771,0.9394736786683401,0.17871847524258652,0.037387363150857576
